protein_annotation	regex_label	manual_label	note
Methylated-DNA--[protein]-cysteine S-methyltransferase	proper	proper	
M48 family metalloprotease	proper	proper	
HlyD family efflux transporter periplasmic adaptor subunit	proper	proper	
Putative ribose-phosphate pyrophosphokinase 2	proper	proper	
DNA repair protein rad9	proper	proper	
SLAM family member 6-like isoform X2	proper	proper	
DNA protecting protein DprA	proper	proper	
DCD (Development and Cell Death) domain protein	proper	proper	
Phosphatidylglycerol--prolipoprotein diacylglyceryl transferase	proper	proper	
TCP-1/cpn60 chaperonin family protein	proper	proper	
Origin recognition complex subunit 1	proper	proper	
Host-nuclease inhibitor protein Gam, putative	proper	proper	
Antirestriction protein klcA	proper	proper	
Lactamase B and dCMP cyt deam 1 domain containing protein	proper	proper	
Mu-like prophage FluMu protein gp47	proper	proper	protein name with associated function
Single-strand binding protein family protein	proper	proper	
Putative PE-PGRS family protein PE PGRS54	proper	proper	
uncharacterized protein LOC111435535	uninformative	uninformative	
Similar to phage repressor protein ci	proper	proper	
COG2932: Predicted transcriptional regulator	proper	proper	
[ribosomal protein S5]-alanine N-acetyltransferase	proper	proper	
N-acetyltransferase ElaA	proper	proper	
Polymerase III, alpha subunit protein	proper	proper	
Insertion element protein	proper	proper	
Transcription regulator IclR, C-terminal	proper	proper	
SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A-like protein 1	proper	proper	
Phage terminase, large subunit, PBSX	proper	proper	
Uncharacterized protein (TIGR02217 family)	proper	low	
Actin-1	proper	proper	
Predicted peptide chain release factor 2, related to PrfB	proper	proper	
Related to Ribonucleoside-diphosphate reductase small chain	proper	proper	
Putative radical SAM superfamily protein	proper	proper	
Thymidylate synthase ThyX (TS) (TSase)	proper	proper	
Conserved hypothetical membrane protein	proper	low	
Small HspC2 heat shock protein	proper	proper	
Influenza virus NS1A-binding protein homolog A	proper	proper	
ATP dependent DNA ligase-like protein,ATP dependent DNA ligase family protein	proper	proper	
Prophage MuMc02, terminase, ATPase subunit, putative	proper	proper	
ARAD1C36740p	proper	uninformative	
FAD/FMN-containing dehydrogenase	proper	proper	
Integral membrane protein terc	proper	proper	
Upf86.8	proper	uninformative	
ITAD	proper	proper	protein name with associated function
Recombinase XerC	proper	proper	
NAD(P)-dependent dehydrogenase, short-chain alcohol dehydrogenase family	proper	proper	
Putative Mov34/MPN/PAD-1 family protein	proper	proper	
Helicase, SNF2 family	proper	proper	
Diaminohydroxyphosphoribosylaminopyrimidine deaminase	proper	proper	
Histidine triad (HIT) protein	proper	proper	
dTDP-6-deoxy-L-talose 4-dehydrogenase (NAD(P)(+))	proper	proper	
Putative two-component system response regulator	proper	proper	
Putative 2OG-Fe(II) oxygenase	proper	proper	
F-box kelch-repeat At3g27150	proper	proper	
Uncharacterized phage-encoded protein-like protein	proper	uninformative	
Exonuclease, DNA polymerase III, epsilon subunit	proper	proper	
Uncharacterized protein PM1122	uninformative	uninformative	
uncharacterized protein LOC117644608 isoform X2	proper	uninformative	
HlyD family secretion protein	proper	proper	
Glucitol operon GutQ protein	proper	proper	
ANTXR cell adhesion molecule 1d	proper	proper	
ORF11CD3 domain-containing protein	uninformative	uninformative	
AAA domain-domain-containing protein	proper	proper	
Assimilatory nitrite reductase subunit-like protein	proper	proper	
Nudix hydrolase 20, chloroplastic	proper	proper	
SAM-dependent DNA methyltransferase	proper	proper	
Band 7/Mec-2 family protein	proper	proper	
4-hydroxybenzoate polyprenyltransferase, mitochondrial	proper	proper	
Mannose-1-phosphate guanylyltransferase 1	proper	proper	
CDAC1 protein	proper	proper	protein name with associated function
Thermonuclease family protein	proper	proper	
5'-deoxynucleotidase SCTVLC_2658	proper	proper	
Similar to Probable mitochondrial chaperone BCS1-B acc. no. Q54DY9	proper	proper	
DUF2500 domain-containing protein	low informative	low	
Phage antirepressor KilAC domain protein	proper	proper	
MazG-like family protein	proper	proper	
Bacteriophage Mu I family protein	proper	uninformative	
Minor tail protein	proper	proper	
16.9 kDa class I heat shock protein 2	proper	proper	
SMC domain-containing protein	proper	proper	
DNA-binding transcriptional regulator, XRE-family HTH domain	proper	proper	
Collagen-like protein-7	proper	proper	
Mycothiol acetyltransferase	proper	proper	
Phosphonoacetaldehyde hydrolase	proper	proper	
Nitrate ABC transporter ATP-binding protein	proper	proper	
Glucose-fructose oxidoreductase	proper	proper	
Redoxin domain-containing protein	proper	proper	
Formylmethanofuran dehydrogenase subunit E	proper	proper	
FMN adenylyltransferase	proper	proper	
Putative protease (I) and scaffold (Z) protein	proper	proper	
Nicotinate-nucleotide pyrophosphorylase	proper	proper	
Radical SAM superfamily protein	proper	proper	
26S proteasome ATPase 3 subunit	proper	proper	
Transglutaminase-like superfamily protein	proper	proper	
Protein/band 7 family protein	proper	proper	
P2 phage tail completion protein R (GpR)	proper	proper	
Double zinc ribbon	proper	proper	
RD21A protein	proper	proper	protein name with associated function
Late control gene D protein (GPD)	proper	proper	
Replication initiation factor	proper	proper	
ribonucleoside-diphosphate reductase subunit M2 B	proper	proper	
Predicted ABC-type ATPase	proper	proper	
Histone-lysine N-methyltransferase SETDB1	proper	proper	
Sialic acid synthase	proper	proper	
uncharacterized protein LOC115625951	uninformative	uninformative	
5'-deoxynucleotidase NCTC204_04081	proper	proper	
Fucolectin	proper	proper	
Putative defective protein IntQ	proper	proper	
GroL protein	proper	proper	
Thrombospondin-related anonymous protein	proper	proper	
Lactonase	proper	proper	
Putative metallophosphoesterase	proper	proper	
dUTP diphosphatase	proper	proper	
Glycosyl hydrolase family 31/fibronectin type III domain protein	proper	proper	
Deoxycytidine triphosphate deaminase	proper	proper	
TRAP transporter	proper	proper	
Prophage pi1 protein 37, capsid protein	proper	proper	
Tellurite resistance protein TerA	proper	proper	
Chromodomain-helicase-DNA-binding protein 2-like	proper	proper	
DUF1554 domain-containing protein	low informative	low	
kelch repeat and BTB domain-containing protein 7-like	proper	proper	
Poly(ADP-ribose) polymerase family member 9	proper	proper	
Putative A transposase	proper	proper	
Mu-like prophage protein gp46	proper	uninformative	
Phosphate starvation-inducible ATPase PhoH with RNA binding motif	proper	proper	
Asparagine synthetase [glutamine-hydrolyzing] 1	proper	proper	
Fatty acid synthase S-acetyltransferase	proper	proper	
Replication protein O	proper	proper	
cell surface glycoprotein CD200 receptor 1-like isoform X6	proper	proper	
CMP/dCMP deaminase, zinc-binding	proper	proper	
Putative GTPase	proper	proper	
Recombination protein F	proper	proper	
AraC family transcriptional regulator, cell operon repressor	proper	proper	
Heat Shock Protein	proper	proper	
uncharacterized protein LOC107793301 isoform X2	proper	uninformative	
Related to BCS1-Mitochondrial protein of the AAA family of ATPases	proper	proper	
Uncharacterized protein AF_1796	uninformative	uninformative	
Phage structural protein	proper	proper	
RnaseH-domain-containing protein	proper	proper	
CP4-like integrase	proper	proper	
Putative cell surface protein	proper	low	
Glutamine amidotransferase	proper	proper	
DNA-binding protein RDGA	proper	proper	
Kelch-like protein 32 BTB and kelch domain-containing protein 5	proper	proper	
P/Homo B domain-containing protein	proper	proper	
Putative DNA packaging protein GP17 (Terminase)	proper	proper	
5'(3')-deoxyribonucleotidase, mitochondrial	proper	proper	
Glutamine amidotransferase SNO family	proper	proper	
Iron-regulated protein	proper	proper	
Thymidylate synthase flavin-dependent	proper	proper	
Putative Nucleoside 2-deoxyribosyltransferase	proper	proper	
Type II secretion system F family protein	proper	proper	
DNA-binding HxlR family transcriptional regulator	proper	proper	
Putative prophage PSSB64-02, Orf63	proper	uninformative	
LamG domain protein jellyroll fold domain protein	proper	proper	
Putative phage tail fiber-related protein	proper	proper	
HD-like signal output (HDOD) domain, no enzymatic activity	proper	proper	
ADP-ribose glycohydrolase AF_1521	proper	proper	
AAA_5 domain-containing protein	proper	proper	
DNA polymerase bacteriophage-type	proper	proper	
Predicted ATPase/kinase involved in NAD metabolism	proper	proper	
Uncharacterized protein ybjS	uninformative	uninformative	
Uncharacterized HTH-type transcriptional regulator CBU_1416	proper	proper	
3',5'-cyclic AMP phosphodiesterase CpdA	proper	proper	
Membrane-anchored band 7 domain protein	proper	proper	
Synaptic vesicle membrane protein VAT-1 homolog	proper	proper	
Capsid-protein-GpE domain protein	proper	proper	
Sulfate adenylyltransferase small subunit	proper	proper	
Putative transcriptional regulator protein, MerR family	proper	proper	
Peroxisome assembly factor 2	proper	proper	
Zinc finger/helix-turn-helix protein, YgiT family	proper	proper	
Putative ribonuclease H1	proper	proper	
Proteasome subunit beta type-11	proper	proper	
Late control gene D protein	proper	proper	
Endonuclease 2	proper	proper	
Flap endonuclease Xni	proper	proper	
YGR238Cp-like protein	proper	uninformative	
Transcriptional regulatory protein YpdB	proper	proper	
Phage tail length tape measure protein	proper	proper	
Regulatory prophage protein cI	proper	proper	
uncharacterized protein LOC104243714	uninformative	uninformative	
Bacterial stress protein	proper	proper	
Anaphase-promoting complex, cyclosome, subunit 3	proper	proper	
Bacteriophage protein, PF04883 family	proper	low	
HTH-type transcriptional regulator DmlR	proper	proper	
Contig0026, whole genome shotgun sequence	uninformative	uninformative	
TelA-like protein	proper	proper	
SbcD_rel_arch: putative phosphoesterase	proper	proper	
RNase H domain-containing protein	proper	proper	
Acyl-CoA-binding domain-containing protein 4-like protein	proper	proper	
Probable DNA-directed RNA polymerase	proper	proper	
Diaminopimelate decarboxylase	proper	proper	
Signal peptidase I	proper	proper	
Phosphoesterase DHHA1	proper	proper	
Serine/threonine protein kinase, putative	proper	proper	
Putative PhoH-like protein PhoH2	proper	proper	
Phage baseplate-like protein	proper	proper	
Podospora anserina S mat+ genomic DNA chromosome 1, supercontig 4	proper	uninformative	
Predicted phosphoesterase or phosphohydrolase	proper	proper	
Stomatin/prohibitin-family membrane protease subunit PA4582	proper	proper	
Nucleic acid-binding protein	proper	proper	
kelch-like protein 29 isoform X6	proper	proper	
SprT-like domain protein	proper	proper	
GpF1	proper	uninformative	
ASPHD2 protein	proper	proper	protein name with associated function
Tyrosine recombinase xerC 2	proper	proper	
DUF3102 domain-containing protein	low informative	low	
Cochlin	proper	proper	
O-acetyl-ADP-ribose deacetylase-like protein	proper	proper	
SLAM family member 7 isoform X1	proper	proper	
NadR-like protein	proper	proper	
KR-domain-containing protein	proper	proper	
collagen alpha-4(VI) chain-like	proper	proper	
Protein disulfide isomerase, putative	proper	proper	
Major capsid protein Gp5	proper	proper	
GIY-YIG catalytic domain protein	proper	proper	
SPX domain-containing protein	proper	proper	
dCMP deaminase family protein	proper	proper	
Dual specificity phosphatase, catalytic domain	proper	proper	
Procollagen-lysine, 2-oxoglutarate 5-dioxygenase 3	proper	proper	
Putative DNA (Cytosine-C5) methyltransferase	proper	proper	
Pre-rRNA-processing protein PNO1	proper	proper	
Tellurium resistance protein TerA	proper	proper	
Dual specificity protein phosphatase	proper	proper	
Phage essential recombination function protein	proper	proper	
Putative Chitinase	proper	proper	
KPRB protein	proper	proper	
Virulence-associated E family protein	proper	proper	
Putative P2 phage tail completion protein R (GpR)	proper	proper	
Putative Phage anti-repressor protein	proper	proper	
Prohibitin subunit	proper	proper	
Peptide chain release factor 2 (RF-2)	proper	proper	
Putative conserved NADP-binding domain-containing protein	proper	proper	
Kinase/phosphohydrolase	proper	proper	
Predicted phage-related endonuclease	proper	proper	
Predicted phosphohydrolase, Cof family, HAD superfamily	proper	proper	
Putative deoxycytidylate deaminase	proper	proper	
Ribose-phosphate pyrophosphokinase 2-like	proper	proper	
RNA polymerase sigma-E factor Sigma-24	proper	proper	
Probable phosphate starvation-induced protein	proper	proper	
YceE	proper	uninformative	protein name without associated function
Plasmid RP4 TraN-like protein	proper	proper	
Possible minor structural protein gp89	proper	proper	
MHYT domain-containing protein, NO-binding membrane sensor	proper	proper	
Proteasome-activating nucleotidase	proper	proper	
trithorax group protein osa isoform X4	proper	proper	
Cell surface protein	proper	low	
Putative diguanylate cyclase domain protein	proper	proper	
Polymerase (DNA directed) nu	proper	proper	
ATP-dependent exoDNAse (Exonuclease V) alpha subunit RecD	proper	proper	
Putative kelch-like protein 12	proper	proper	
D-fructose-6-phosphate amidotransferase	proper	proper	
Hecd-1 protein	proper	proper	
Lipopolysaccharide biosynthesis protein	proper	proper	
Zinc finger ran-binding domain-containing protein 3	proper	proper	
Putative exodeoxyribonuclease V	proper	proper	
Phosphopantothenate-cysteine ligase/phosphopantothenoylcysteine decarboxylase	proper	proper	
SLAM family member 7 isoform X6	proper	proper	
Response regulator protein VraR	proper	proper	
Vacuolin-C	proper	proper	
Chd1l protein	proper	proper	
Amidophosphoribosyltransferase	proper	proper	
DUF1902 domain-containing protein	low informative	low	
GTP cyclohydrolase	proper	proper	
A118 family predicted phage portal protein	proper	proper	
sodium/hydrogen exchanger 8-like	proper	proper	
